Country,Clicks,Impressions,CTR,Position
Saudi Arabia,28,644,4.35%,6.49
Yemen,10,197,5.08%,7.38
Egypt,4,163,2.45%,8.7
Syria,1,72,1.39%,9.83
Sudan,1,26,3.85%,6.54
Turkey,1,10,10%,12.4
Jordan,1,10,10%,16.5
Morocco,1,9,11.11%,6.11
Bahrain,1,9,11.11%,8.78
United Kingdom,1,4,25%,6.75
Iran,1,2,50%,11
Mali,1,1,100%,11
United States,0,155,0%,6.58
Iraq,0,29,0%,8.97
Algeria,0,19,0%,7.68
Kuwait,0,18,0%,37.39
Libya,0,15,0%,6.6
Lebanon,0,11,0%,8.45
Qatar,0,11,0%,9.91
United Arab Emirates,0,10,0%,21.3
India,0,9,0%,4.89
Palestine,0,8,0%,7.12
Tunisia,0,6,0%,6.17
Canada,0,6,0%,7.67
Oman,0,5,0%,9
Brazil,0,4,0%,21.75
Netherlands,0,3,0%,5.33
France,0,3,0%,5.67
Pakistan,0,3,0%,6.33
Unknown Region,0,3,0%,9
Germany,0,3,0%,9.67
Russia,0,3,0%,13.33
Mauritania,0,2,0%,9.5
Italy,0,2,0%,10.5
Spain,0,2,0%,11
Indonesia,0,2,0%,11.5
Singapore,0,2,0%,11.5
Mexico,0,2,0%,12.5
Rwanda,0,1,0%,1
Cyprus,0,1,0%,3
Kenya,0,1,0%,4
Poland,0,1,0%,6
Ghana,0,1,0%,7
Latvia,0,1,0%,7
Kazakhstan,0,1,0%,8
Burkina Faso,0,1,0%,9
Switzerland,0,1,0%,9
Afghanistan,0,1,0%,10
Djibouti,0,1,0%,10
Thailand,0,1,0%,10
Azerbaijan,0,1,0%,11
Congo - Kinshasa,0,1,0%,11
Vietnam,0,1,0%,12
Honduras,0,1,0%,15
Ukraine,0,1,0%,15
Argentina,0,1,0%,16
Senegal,0,1,0%,16
South Africa,0,1,0%,18
Nepal,0,1,0%,19
Trinidad & Tobago,0,1,0%,20
South Korea,0,1,0%,89
